# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	308026
#@/user_id	81bf718c-31d1-4575-8c56-55f3655d21e4
ao mi 	奧祕	c=1 d=1 t=83754
ao nao 	懊惱	c=0 d=0.1 t=195098
ao ri ge le 	敖日格樂	c=1 d=1 t=74193
ao shi 	傲視	c=2 d=1 t=222095
ao shi yi dao 	傲世一刀	c=1 d=1 t=222070
ao shu 	奧數	c=0 d=0.1 t=293992
ao shu hong liu 	奧數洪流	c=1 d=1 t=293993
ao te man 	奧特曼	c=1 d=1 t=145081
ao tuo 	奧拓	c=1 d=1 t=239890
ao ye 	熬夜	c=1 d=1 t=262458
ao yun 	奧運	c=2 d=1.00035 t=228141
ao yun hui 	奧運會	c=6 d=1.99501 t=236125
ao zhou 	澳州	c=1 d=1 t=159640
ao zou 	傲走	c=1 d=1 t=159639
apple 	Apple	c=1 d=1 t=251199
ba 	八	c=6 d=0.1 t=271203
ba 	吧	c=2837 d=3.217 t=308026
ba 	巴	c=0 d=0.1 t=31248
ba 	把	c=775 d=1.87547 t=308026
ba 	捌	c=2 d=1 t=281268
ba 	爸	c=5 d=1 t=305045
ba 	霸	c=4 d=3.76391 t=47752
ba a 	巴阿	c=1 d=1 t=252434
ba a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a 	吧啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=1 t=270143
ba ba 	巴巴	c=1 d=1 t=222836
ba ba 	爸爸	c=13 d=1.08321 t=284627
ba ba 	粑粑	c=1 d=1.07531 t=249874
ba bai nen 	吧白嫩	c=3 d=1 t=96084
ba bei zi 	八輩子	c=1 d=1 t=26229
ba bu de 	巴不得	c=1 d=1 t=155634
ba gua 	八卦	c=7 d=1 t=205697
ba guan 	把關	c=1 d=1 t=163336
ba ji 	八幾	c=1 d=1 t=39004
ba ji si tan 	巴基斯坦	c=2 d=1 t=153222
ba jia 	八家	c=3 d=1 t=298388
ba jia jia yuan 	八家嘉園	c=1 d=1 t=13904
ba jiu 	八九	c=0 d=0.1 t=20248
ba kong 	把控	c=2 d=1 t=267016
ba la 	巴拉	c=0 d=0.1 t=260356
